spec,subsample,release_round,rmsfe,crps,wqs
"DFM",Full,1,2.05202233215684,0.935266231087115,0.389310045736084
"DFM",Full,3,2.0954773722924,0.975237936299286,0.413591797853582
"DFM",Full,5,2.09540502364938,0.967754746529438,0.40790440760871
"DFM",Full,7,2.04260448646137,0.915899353023434,0.386318018211688
"DFM",Full,9,2.06232709574127,0.956126822413642,0.408102300329166
"DFM",Full,11,2.01518845650906,0.912693248985882,0.381866941645445
"DFM",Full,13,2.02576209828733,0.894782666674097,0.370354191287262
"DFM",Full,15,1.95797398151656,0.875886667819879,0.368261051693706
"DFM",GFC,1,4.45245567255086,3.21649240355777,1.42549040895555
"DFM",GFC,3,4.43395811147923,3.24330854083651,1.47149575703984
"DFM",GFC,5,4.41506136707896,3.29583494597378,1.48459402189183
"DFM",GFC,7,4.46587089561912,3.23457142716539,1.46133161859617
"DFM",GFC,9,4.42055006783712,3.18746022829748,1.44964973383827
"DFM",GFC,11,4.42863090136204,2.97954601578675,1.33386866144912
"DFM",GFC,13,4.48099988817331,3.03073788688665,1.35867554660914
"DFM",GFC,15,4.66436533733079,2.70320520976152,1.23767537553016
"DFM",Tranquil,1,0.846487382898672,0.512823302863159,0.202994792383099
"DFM",Tranquil,3,0.861798515187235,0.510082846830342,0.206316977935006
"DFM",Tranquil,5,0.828912746049923,0.523333822945087,0.219153456515221
"DFM",Tranquil,7,0.810237256748102,0.478858703275017,0.19035689691377
"DFM",Tranquil,9,0.891591909128115,0.535832815033321,0.218979549965954
"DFM",Tranquil,11,0.864478497417561,0.504034194893308,0.197071450285001
"DFM",Tranquil,13,0.833682203975658,0.497179962723156,0.198227341583703
"DFM",Tranquil,15,0.925806603115141,0.529979144715496,0.208431110420988
"DFM",Pandemic,1,1.74898507244474,0.973980144489767,0.397616195385382
"DFM",Pandemic,3,1.85291126062885,1.0889758257575,0.450494509621885
"DFM",Pandemic,5,1.85099817169127,1.02943289433209,0.408454855265281
"DFM",Pandemic,7,1.70614750790747,0.968021080979389,0.399374253596078
"DFM",Pandemic,9,1.74358497433813,1.00581125799806,0.41952221616103
"DFM",Pandemic,11,1.75962116987763,0.990959615489916,0.412192258970114
"DFM",Pandemic,13,1.74520970101515,0.934466900697003,0.368971878824313
"DFM",Pandemic,15,1.55654326267217,0.919431298260873,0.381065109362602
"DFM",Pre,1,2.20842330532543,0.915497424243207,0.385068607617294
"DFM",Pre,3,2.22807294769334,0.917159014022749,0.394747859929343
"DFM",Pre,5,2.22892013540891,0.936259522119573,0.407623327954291
"DFM",Pre,7,2.2121412102413,0.889284002577839,0.379651004398382
"DFM",Pre,9,2.22454980194056,0.930756046796067,0.402270853946938
"DFM",Pre,11,2.15211982339821,0.872727444813608,0.366381673224337
"DFM",Pre,13,2.17297405175887,0.874518376960272,0.37106005297047
"DFM",Pre,15,2.14530075183056,0.853651111850011,0.361722809479802
"DFM (no COVID factor)",Full,1,2.03236793708902,0.91727043444274,0.390530699350017
"DFM (no COVID factor)",Full,3,2.03771330289859,0.953576676874188,0.408635144878915
"DFM (no COVID factor)",Full,5,2.03491492314839,0.919556058009789,0.393094596737073
"DFM (no COVID factor)",Full,7,2.04969986825127,0.933889166812975,0.400639291366096
"DFM (no COVID factor)",Full,9,2.04440154156123,0.913080954187997,0.389431712538135
"DFM (no COVID factor)",Full,11,1.91276567636225,0.835610963649498,0.345910806420224
"DFM (no COVID factor)",Full,13,1.91358197653306,0.865402797956397,0.357899932138391
"DFM (no COVID factor)",Full,15,1.80548220204786,0.77807935396304,0.326702764499654
"DFM (no COVID factor)",GFC,1,4.40218679820425,3.26940266922557,1.4747437568236
"DFM (no COVID factor)",GFC,3,4.41946579536369,3.27042368316999,1.50937955813688
"DFM (no COVID factor)",GFC,5,4.4145999940221,3.26674684518829,1.46958881189851
"DFM (no COVID factor)",GFC,7,4.40910523042121,3.27376672544085,1.49517552134704
"DFM (no COVID factor)",GFC,9,4.49768424393776,3.20943954300178,1.45297736453475
"DFM (no COVID factor)",GFC,11,4.40420081236689,2.62339738089112,1.15573939956888
"DFM (no COVID factor)",GFC,13,4.42388351666052,2.92846758040959,1.29883431682907
"DFM (no COVID factor)",GFC,15,4.36924709676128,2.74476912950924,1.2368554296462
"DFM (no COVID factor)",Tranquil,1,0.808449326569741,0.484586224884774,0.19619059949455
"DFM (no COVID factor)",Tranquil,3,0.800220441721669,0.540822090539015,0.231021535268128
"DFM (no COVID factor)",Tranquil,5,0.779499124139572,0.47392114325813,0.19129460514352
"DFM (no COVID factor)",Tranquil,7,0.798812775640231,0.517083850202592,0.214641481744456
"DFM (no COVID factor)",Tranquil,9,0.823225081118788,0.499391345103248,0.204573518046086
"DFM (no COVID factor)",Tranquil,11,0.868072411904709,0.511551185347279,0.201952272021152
"DFM (no COVID factor)",Tranquil,13,0.901155777670025,0.54246188323552,0.212937875628042
"DFM (no COVID factor)",Tranquil,15,0.806649660647786,0.483489059270978,0.199070567493025
"DFM (no COVID factor)",Pandemic,1,1.69022668029731,0.952372215227692,0.398202057346001
"DFM (no COVID factor)",Pandemic,3,1.72010535676409,0.965753943929866,0.383607373696652
"DFM (no COVID factor)",Pandemic,5,1.72752201676503,0.977683603002158,0.415450436637576
"DFM (no COVID factor)",Pandemic,7,1.75873617904066,0.946100406563816,0.391395906991053
"DFM (no COVID factor)",Pandemic,9,1.65039088939527,0.932792380925224,0.38732788819254
"DFM (no COVID factor)",Pandemic,11,1.53884335352667,0.854272889124391,0.349641690750319
"DFM (no COVID factor)",Pandemic,13,1.37666027433259,0.801910427609009,0.325064164120858
"DFM (no COVID factor)",Pandemic,15,1.17345316083686,0.695445327248836,0.27396189884296
"DFM (no COVID factor)",Pre,1,2.20378914982844,0.899346120850424,0.386613410160579
"DFM (no COVID factor)",Pre,3,2.19964970909489,0.947358497952139,0.421415283354965
"DFM (no COVID factor)",Pre,5,2.19280688584569,0.889873907375388,0.381678848702774
"DFM (no COVID factor)",Pre,7,2.20063373401965,0.927653640131695,0.405359317429947
"DFM (no COVID factor)",Pre,9,2.23368979829982,0.903015544790264,0.390506005820992
"DFM (no COVID factor)",Pre,11,2.09310126993568,0.826081469789979,0.344005673996346
"DFM (no COVID factor)",Pre,13,2.1496314937862,0.897824433878467,0.374667132828195
"DFM (no COVID factor)",Pre,15,2.06687911977901,0.820275452710719,0.353634270366903
"GIGG-SV-trend (QR)",Full,1,2.67596022889501,1.77240740955102,0.551089848008644
"GIGG-SV-trend (QR)",Full,2,2.22575022298693,1.39130970540787,0.431331119649996
"GIGG-SV-trend (QR)",Full,3,2.25331553649979,1.39964744372834,0.437706431019288
"GIGG-SV-trend (QR)",Full,4,2.16089665409806,1.37811733932989,0.410962214154641
"GIGG-SV-trend (QR)",Full,5,1.98083832574022,1.23171272665978,0.381828107370135
"GIGG-SV-trend (QR)",Full,6,1.93774303645381,1.22096236760485,0.378360703940712
"GIGG-SV-trend (QR)",Full,7,1.91506336819097,1.21713611572277,0.375228732644145
"GIGG-SV-trend (QR)",Full,8,1.99613234096508,1.27359210171863,0.382230266453963
"GIGG-SV-trend (QR)",Full,9,2.23904911730738,1.36880098601006,0.403916684968736
"GIGG-SV-trend (QR)",Full,10,2.2412035112162,1.41135982950304,0.408695701960624
"GIGG-SV-trend (QR)",Full,11,2.06677580494024,1.34339423213252,0.389986916762518
"GIGG-SV-trend (QR)",Full,12,2.0930236812422,1.35030292995806,0.3875373651052
"GIGG-SV-trend (QR)",Full,13,1.89028227664033,1.28082544606246,0.382849116600814
"GIGG-SV-trend (QR)",Full,14,1.93200265130857,1.25773653423413,0.373080982232194
"GIGG-SV-trend (QR)",Full,15,1.83996399266118,1.22045961106755,0.366757017445313
"GIGG-SV-trend (QR)",GFC,1,4.88827305556223,3.44861808581025,1.25861669271192
"GIGG-SV-trend (QR)",GFC,2,4.38203568723129,2.84361210948584,1.04596600030443
"GIGG-SV-trend (QR)",GFC,3,4.61926515305338,2.98824166038969,1.10256518205807
"GIGG-SV-trend (QR)",GFC,4,4.57526729692669,2.9083546295514,1.04708149706493
"GIGG-SV-trend (QR)",GFC,5,4.63759365522851,2.97027445687807,1.1339723937831
"GIGG-SV-trend (QR)",GFC,6,4.5898045939658,2.92849881450554,1.11205109126008
"GIGG-SV-trend (QR)",GFC,7,4.53885788817315,2.84632706763204,1.07478288631505
"GIGG-SV-trend (QR)",GFC,8,4.78430934328032,3.08398304077559,1.12655226188449
"GIGG-SV-trend (QR)",GFC,9,4.65821235779002,2.90198753717689,1.13438197278376
"GIGG-SV-trend (QR)",GFC,10,4.74770183767502,3.10760319261551,1.20405143709262
"GIGG-SV-trend (QR)",GFC,11,4.48980215021619,2.86825041979888,1.11474411182381
"GIGG-SV-trend (QR)",GFC,12,4.47989042976748,2.95004770255457,1.08838844671666
"GIGG-SV-trend (QR)",GFC,13,4.4307413412829,3.06495056492533,1.10520281940487
"GIGG-SV-trend (QR)",GFC,14,4.59594274040108,2.98982205411088,1.07807729416301
"GIGG-SV-trend (QR)",GFC,15,4.44188390805359,2.95446406663533,1.07680491849287
"GIGG-SV-trend (QR)",Tranquil,1,1.59453964486734,1.19933435918244,0.326674161373886
"GIGG-SV-trend (QR)",Tranquil,2,1.07822581244541,0.851759365947105,0.234147011166544
"GIGG-SV-trend (QR)",Tranquil,3,1.06928879877889,0.847387860209922,0.234983814430018
"GIGG-SV-trend (QR)",Tranquil,4,1.03670209816636,0.859570267708887,0.226066083047053
"GIGG-SV-trend (QR)",Tranquil,5,0.962980950655276,0.775809046258862,0.215444620260605
"GIGG-SV-trend (QR)",Tranquil,6,0.97745166935917,0.778160362579682,0.22366456079402
"GIGG-SV-trend (QR)",Tranquil,7,0.98910686263304,0.804424783222326,0.224536219591244
"GIGG-SV-trend (QR)",Tranquil,8,0.995122618494305,0.809388079013856,0.224944972300599
"GIGG-SV-trend (QR)",Tranquil,9,0.963681725729132,0.830510966856837,0.221576188210362
"GIGG-SV-trend (QR)",Tranquil,10,1.0425830943306,0.873229193888139,0.225660854928633
"GIGG-SV-trend (QR)",Tranquil,11,1.01542950117724,0.842911513712927,0.217607660661017
"GIGG-SV-trend (QR)",Tranquil,12,0.961773520874713,0.807880385545703,0.214544038026096
